帱	901
杻	901
侴	900
椆	900
出	2295843
处	1627591
楚	729104
除	600818
初	456546
触	214112
厨	89903
础	74917
储	42734
畜	29547
褚	17800
搐	14953
橱	14039
躇	12100
雏	10548
锄	10238
矗	8708
杵	6456
楮	5590
怵	4516
黜	3220
绌	2443
蜍	2403
刍	2303
滁	1849
樗	1723
蹰	1522
憷	1332
亍	1168
俶	1062
斶	909
摴	906
䝙	900
䢺	900
濋	900
琡	900
𬺓	900
欻	900
揣	28468
踹	23531
搋	935
啜	901
传	1035538
穿	635642
船	346586
川	194033
喘	117978
串	81822
钏	3643
椽	2039
舛	1834
遄	1184
氚	1030
床	466701
窗	299037
创	271294
疮	10868
闯	9044
怆	7762
幢	1000
噇	921
吹	210706
垂	120804
锤	37063
捶	19137
炊	10054
槌	4944
陲	3356
棰	1305
倕	917
圌	901
春	415444
纯	213165
唇	162229
蠢	64423
淳	19819
醇	13344
椿	3432
鹑	2595
莼	1393
蝽	915
瑃	901
䲠	900
堾	900
𬭚	900
戳	21571
啜	9957
龊	8195
辍	4549
绰	3693
踔	1062
惙	915
逴	904
此	2726865
次	2308357
刺	395455
词	197464
辞	131050
慈	93947
赐	82449
磁	29120
伺	28305
瓷	25755
茨	24661
雌	11879
祠	11384
呲	7209
疵	5757
泚	1335
糍	1301
鹚	1168
茈	992
跐	953
玼	916
佽	911
兹	901
差	901
莿	900
𫚖	900
从	3174676
匆	171509
聪	139631
丛	85409
葱	25037
琮	4230
淙	4204
囱	3998
骢	1956
苁	1559
枞	1509
璁	1400
熜	1195
悰	985
凑	98511
辏	1146
腠	972
粗	160798
促	115140
醋	34480
簇	19996
猝	12977
蹙	11804
蹴	2819
卒	1500
徂	1460
殂	1148
蔟	1092
窜	66874
蹿	13531
篡	7822
撺	2561
攒	1200
汆	1082
爨	1037
镩	916
脆	146025
催	87051
翠	82946
崔	72561
摧	41666
粹	37762
悴	19929
璀	8945
啐	7944
萃	7218
瘁	4836
淬	4222
榱	981
毳	960
漼	923
缞	912
存	486367
村	344859
寸	86413
忖	26274
皴	1207
邨	1008
错	840827
措	105829
挫	33264
搓	29003
撮	11434
磋	11297
蹉	2354
锉	2319
厝	1694
矬	1554
嵯	1455
痤	1258
鹾	1114
脞	955
瑳	914
棤	900
莝	900
大	10829884
打	2883237
答	797806
达	742682
搭	136358
哒	22040
瘩	18247
嗒	17586
沓	9222
耷	9156
鞑	7603
靼	4959
妲	2146
褡	1850
跶	1450
怛	1430
笪	1007
垯	933
溚	932
炟	912
荙	904
鿎	900
𨱏	900
𫟼	900
带	1492866
代	933629
待	659754
呆	427948
袋	304706
戴	190860
黛	52558
歹	43657
贷	30312
逮	29051
怠	22147
殆	12948
岱	6915
玳	3710
呔	2446
傣	1982
大	1549
迨	1452
绐	1273
叇	1227
埭	995
骀	979
轪	939
垈	900
但	7506157
单	739819
淡	519765
担	443562
弹	356848
丹	256614
蛋	256378
胆	205555
旦	155294
诞	45148
耽	40096
惮	17632
石	15178
眈	13673
澹	7636
掸	5770
郸	5614
殚	2312
啖	2097
氮	1863
儋	1811
聃	1461
箪	1340
亶	1242
疸	1224
萏	1137
瘅	936
疍	926
赕	906
憺	902
膻	901
𫢸	900
𬘘	900
当	3438126
党	243408
荡	227689
挡	212237
档	66408
铛	14083
裆	7738
宕	3694
砀	1540
珰	1427
凼	1285
谠	1066
垱	1008
菪	948
筜	908
𣗋	900
𬍡	900
到	11506336
倒	1086321
道	1063453
刀	724325
导	487093
岛	187733
盗	137497
叨	43509
蹈	35245
祷	34113
捣	33079
稻	22177
悼	10780
纛	1794
忉	1004
氘	993
捯	970
鱽	923
舠	902
帱	901
的	76939254
地	8804940
得	7187160
德	734675
嘚	1257
锝	1087
得	7187160
嘚	901
扽	981
等	2003014
灯	291050
登	216844
瞪	187702
邓	79743
凳	37023
蹬	24551
噔	12403
镫	2233
磴	1162
澄	1100
戥	1043
嶝	955
璒	903
地	8804940
第	2559718
弟	932704
底	807259
低	647163
帝	644184
敌	535120
抵	169324
递	162819
迪	151291
滴	148654
的	107817
蒂	106701
狄	59678
笛	44823
嘀	43514
堤	20716
邸	16850
嫡	9982
棣	9229
缔	9173
谛	8539
涤	8410
荻	7463
娣	5864
诋	4368
氐	3056
砥	2913
镝	2022
睇	1789
坻	1319
柢	1208
鞮	1147
羝	1136
觌	1048
籴	1040
骶	1014
碲	954
禘	933
翟	920
踶	910
菂	909
髢	909
玓	904
杕	902
蹢	902
媂	901
提	901
䃅	900
䗖	900
茋	900
𤧛	900
𬱖	900
嗲	900
点	3979756
电	1309203
店	357501
殿	225935
典	171937
颠	58425
垫	31064
甸	24142
惦	14089
奠	13802
掂	13350
癫	12257
巅	10867
淀	9490
滇	6247
玷	5794
踮	5159
佃	2770
靛	2137
碘	2009
钿	1944
簟	1201
癜	1055
坫	960
阽	935
扂	900
琔	900
掉	586959
调	543692
屌	93926
雕	83738
吊	68031
钓	25813
刁	24003
叼	13948
貂	13732
凋	9618
碉	5303
鲷	1062
铫	1002
铞	936
窎	912
汈	905
爹	148469
蝶	90094
跌	86174
叠	52112
碟	30636
迭	22289
谍	19511
喋	13771
牒	4402
堞	1460
耋	1424
鲽	1326
昳	1201
蹀	1092
瓞	954
垤	934
绖	916
楪	901
𫶇	900
定	2739725
顶	373222
丁	279527
盯	215910
订	66004
叮	62922
鼎	60065
钉	44626
锭	8241
町	4724
仃	3231
酊	2982
腚	2778
玎	1702
碇	1287
疔	1025
啶	995
耵	919
萣	906
丢	191546
铥	902
动	3074169
东	1784470
洞	296309
懂	282276
冬	157822
董	140785
冻	56012
栋	48110
咚	44470
峒	5891
胴	5499
侗	3700
恫	2610
鸫	1115
垌	974
硐	969
氡	965
胨	949
岽	943
𬟽	900
都	635193
斗	563055
抖	198022
豆	108085
逗	67071
兜	45109
陡	40014
窦	18885
痘	6697
蚪	2167
蔸	1258
篼	1049
钭	1009
读	901
度	828750
独	457426
毒	332476
读	314406
杜	205940
肚	168438
赌	121439
督	104679
渡	83962
嘟	62199
堵	61065
妒	48450
都	38958
睹	37421
笃	11732
渎	9278
镀	5721
犊	5579
牍	2777
蠹	1752
黩	1688
阇	1312
芏	1234
椟	1226
髑	1009
厾	943
𬭊	900
断	760688
段	559951
短	346380
端	296920
锻	37424
